WORD: theatrical, FREQ: 1
WORD: poster, FREQ: 1
WORD: starring, FREQ: 1
WORD: music, FREQ: 1
WORD: thomas, FREQ: 1
WORD: newman, FREQ: 1
WORD: cinematography, FREQ: 1
WORD: donald, FREQ: 1
WORD: thorin, FREQ: 1
WORD: edited, FREQ: 1
WORD: steinkamp, FREQ: 1
WORD: tronick, FREQ: 1
WORD: harvey, FREQ: 1
WORD: rosenstock, FREQ: 1
WORD: company, FREQ: 1
WORD: light, FREQ: 1
WORD: distributed, FREQ: 1
WORD: universal, FREQ: 1
WORD: pictures, FREQ: 1
WORD: december 23, FREQ: 1
WORD: country, FREQ: 1
WORD: united, FREQ: 1
WORD: language, FREQ: 1
WORD: budget, FREQ: 1
WORD: assistant, FREQ: 1
WORD: irascible, FREQ: 1
WORD: medically, FREQ: 1
WORD: remake, FREQ: 1
WORD: novel, FREQ: 1
WORD: darkness, FREQ: 1
WORD: honey, FREQ: 1
WORD: stars, FREQ: 1
WORD: director, FREQ: 1
WORD: major, FREQ: 1
WORD: shot, FREQ: 1
WORD: primarily, FREQ: 1
WORD: state, FREQ: 1
WORD: location, FREQ: 1
WORD: girls, FREQ: 1
WORD: ethical, FREQ: 1
WORD: culture, FREQ: 1
WORD: fieldston, FREQ: 1
WORD: contents, FREQ: 1
WORD: exclusive, FREQ: 1
WORD: prep, FREQ: 1
WORD: scholarship, FREQ: 1
WORD: unlike, FREQ: 1
WORD: peers, FREQ: 1
WORD: flight, FREQ: 1
WORD: oregon, FREQ: 1
WORD: christmas, FREQ: 1
WORD: accepts, FREQ: 1
WORD: temporary, FREQ: 1
WORD: looking, FREQ: 1
WORD: ranger, FREQ: 1
WORD: discovers, FREQ: 1
WORD: cantankerous, FREQ: 1
WORD: alcoholic, FREQ: 1
WORD: another, FREQ: 1
WORD: witness, FREQ: 1
WORD: setting, FREQ: 1
WORD: presses, FREQ: 1
WORD: divulge, FREQ: 1
WORD: names, FREQ: 1
WORD: offers, FREQ: 1
WORD: bribe, FREQ: 1
WORD: letter, FREQ: 1
WORD: recommendation, FREQ: 1
WORD: virtually, FREQ: 1
WORD: guarantee, FREQ: 1
WORD: acceptance, FREQ: 1
WORD: continues, FREQ: 1
WORD: remain, FREQ: 1
WORD: silent, FREQ: 1
WORD: appears, FREQ: 1
WORD: conflicted, FREQ: 1
WORD: shortly, FREQ: 1
WORD: arrives, FREQ: 1
WORD: whisks, FREQ: 1
WORD: reserves, FREQ: 1
WORD: glibly, FREQ: 1
WORD: goals, FREQ: 1
WORD: involve, FREQ: 1
WORD: enjoying, FREQ: 1
WORD: luxurious, FREQ: 1
WORD: accommodations, FREQ: 1
WORD: committing, FREQ: 1
WORD: taken, FREQ: 1
WORD: aback, FREQ: 1
WORD: know, FREQ: 1
WORD: serious, FREQ: 1
WORD: uninvited, FREQ: 1
WORD: visit, FREQ: 1
WORD: brother, FREQ: 1
WORD: white, FREQ: 1
WORD: plains, FREQ: 1
WORD: unpleasant, FREQ: 1
WORD: deliberately, FREQ: 1
WORD: provokes, FREQ: 1
WORD: everyone, FREQ: 1
WORD: ends, FREQ: 1
WORD: acrimony, FREQ: 1
WORD: cause, FREQ: 1
WORD: revealed, FREQ: 1
WORD: drunken, FREQ: 1
WORD: trainee, FREQ: 1
WORD: mishap, FREQ: 1
WORD: grenade, FREQ: 1
WORD: complications, FREQ: 1
WORD: advises, FREQ: 1
WORD: inform, FREQ: 1
WORD: go, FREQ: 1
WORD: warning, FREQ: 1
WORD: probably, FREQ: 1
WORD: maintaining, FREQ: 1
WORD: later, FREQ: 1
WORD: restaurant, FREQ: 1
WORD: aware, FREQ: 1
WORD: waiting, FREQ: 1
WORD: leads, FREQ: 1
WORD: spectacular, FREQ: 1
WORD: por, FREQ: 1
WORD: una, FREQ: 1
WORD: cabeza, FREQ: 1
WORD: floor, FREQ: 1
WORD: hires, FREQ: 1
WORD: escort, FREQ: 1
WORD: deeply, FREQ: 1
WORD: despondent, FREQ: 1
WORD: next, FREQ: 1
WORD: morning, FREQ: 1
WORD: responds, FREQ: 1
WORD: suggestion, FREQ: 1
WORD: test, FREQ: 1
WORD: ferrari, FREQ: 1
WORD: mondial, FREQ: 1
WORD: lets, FREQ: 1
WORD: car, FREQ: 1
WORD: begins, FREQ: 1
WORD: speeding, FREQ: 1
WORD: attracting, FREQ: 1
WORD: attention, FREQ: 1
WORD: police, FREQ: 1
WORD: manages, FREQ: 1
WORD: appease, FREQ: 1
WORD: without, FREQ: 1
WORD: giving, FREQ: 1
WORD: away, FREQ: 1
WORD: sends, FREQ: 1
WORD: errands, FREQ: 1
WORD: initially, FREQ: 1
WORD: leaves, FREQ: 1
WORD: quickly, FREQ: 1
WORD: becomes, FREQ: 1
WORD: suspicious, FREQ: 1
WORD: find, FREQ: 1
WORD: full, FREQ: 1
WORD: dress, FREQ: 1
WORD: military, FREQ: 1
WORD: uniform, FREQ: 1
WORD: preparing, FREQ: 1
WORD: commit, FREQ: 1
WORD: promise, FREQ: 1
WORD: remove, FREQ: 1
WORD: bullets, FREQ: 1
WORD: earlier, FREQ: 1
WORD: regarding, FREQ: 1
WORD: lied, FREQ: 1
WORD: intervenes, FREQ: 1
WORD: attempts, FREQ: 1
WORD: grab, FREQ: 1
WORD: easily, FREQ: 1
WORD: overpowers, FREQ: 1
WORD: threatening, FREQ: 1
WORD: shoot, FREQ: 1
WORD: enter, FREQ: 1
WORD: tense, FREQ: 1
WORD: argument, FREQ: 1
WORD: grappling, FREQ: 1
WORD: bravely, FREQ: 1
WORD: calms, FREQ: 1
WORD: backs, FREQ: 1
WORD: subjected, FREQ: 1
WORD: formal, FREQ: 1
WORD: inquiry, FREQ: 1
WORD: front, FREQ: 1
WORD: entire, FREQ: 1
WORD: faculty, FREQ: 1
WORD: opening, FREQ: 1
WORD: proceedings, FREQ: 1
WORD: joining, FREQ: 1
WORD: auditorium, FREQ: 1
WORD: stage, FREQ: 1
WORD: support, FREQ: 1
WORD: defense, FREQ: 1
WORD: enlisted, FREQ: 1
WORD: help, FREQ: 1
WORD: using, FREQ: 1
WORD: poor, FREQ: 1
WORD: vision, FREQ: 1
WORD: naming, FREQ: 1
WORD: pressed, FREQ: 1
WORD: details, FREQ: 1
WORD: passes, FREQ: 1
WORD: burden, FREQ: 1
WORD: struggling, FREQ: 1
WORD: decision, FREQ: 1
WORD: recommends, FREQ: 1
WORD: expulsion, FREQ: 1
WORD: contain, FREQ: 1
WORD: launches, FREQ: 1
WORD: passionate, FREQ: 1
WORD: defending, FREQ: 1
WORD: questioning, FREQ: 1
WORD: rewards, FREQ: 1
WORD: snitching, FREQ: 1
WORD: reveals, FREQ: 1
WORD: attempt, FREQ: 1
WORD: buy, FREQ: 1
WORD: regardless, FREQ: 1
WORD: whether, FREQ: 1
WORD: right, FREQ: 1
WORD: wrong, FREQ: 1
WORD: refuses, FREQ: 1
WORD: sell, FREQ: 1
WORD: anybody, FREQ: 1
WORD: advance, FREQ: 1
WORD: shown, FREQ: 1
WORD: actions, FREQ: 1
WORD: insists, FREQ: 1
WORD: expel, FREQ: 1
WORD: great, FREQ: 1
WORD: leaders, FREQ: 1
WORD: promises, FREQ: 1
WORD: make, FREQ: 1
WORD: proud, FREQ: 1
WORD: decides, FREQ: 1
WORD: named, FREQ: 1
WORD: probation, FREQ: 1
WORD: give, FREQ: 1
WORD: neither, FREQ: 1
WORD: recognition, FREQ: 1
WORD: commendation, FREQ: 1
WORD: punishment, FREQ: 1
WORD: allow, FREQ: 1
WORD: involvement, FREQ: 1
WORD: inquiries, FREQ: 1
WORD: thunderous, FREQ: 1
WORD: applause, FREQ: 1
WORD: escorts, FREQ: 1
WORD: political, FREQ: 1
WORD: science, FREQ: 1
WORD: teacher, FREQ: 1
WORD: part, FREQ: 1
WORD: approaches, FREQ: 1
WORD: commending, FREQ: 1
WORD: seeing, FREQ: 1
WORD: spark, FREQ: 1
WORD: served, FREQ: 1
WORD: president, FREQ: 1
WORD: lyndon, FREQ: 1
WORD: johnson, FREQ: 1
WORD: staff, FREQ: 1
WORD: brief, FREQ: 1
WORD: encounter, FREQ: 1
WORD: deftly, FREQ: 1
WORD: establishes, FREQ: 1
WORD: single, FREQ: 1
WORD: surprises, FREQ: 1
WORD: correctly, FREQ: 1
WORD: identifying, FREQ: 1
WORD: perfume, FREQ: 1
WORD: fleurs, FREQ: 1
WORD: de, FREQ: 1
WORD: rocaille, FREQ: 1
WORD: agree, FREQ: 1
WORD: get, FREQ: 1
WORD: together, FREQ: 1
WORD: sometime, FREQ: 1
WORD: talk, FREQ: 1
WORD: politics, FREQ: 1
WORD: walks, FREQ: 1
WORD: towards, FREQ: 1
WORD: greets, FREQ: 1
WORD: niece, FREQ: 1
WORD: children, FREQ: 1
WORD: happily, FREQ: 1
WORD: watches, FREQ: 1
WORD: gene, FREQ: 1
WORD: canfield, FREQ: 1
WORD: manny, FREQ: 1
WORD: richard, FREQ: 1
WORD: venture, FREQ: 1
WORD: bradley, FREQ: 1
WORD: whitford, FREQ: 1
WORD: randy, FREQ: 1
WORD: june, FREQ: 1
WORD: squibb, FREQ: 1
WORD: mrs, FREQ: 1
WORD: hunsaker, FREQ: 1
WORD: frances, FREQ: 1
WORD: conroy, FREQ: 1
WORD: rochelle, FREQ: 1
WORD: oliver, FREQ: 1
WORD: gretchen, FREQ: 1
WORD: tom, FREQ: 1
WORD: riis, FREQ: 1
WORD: farrell, FREQ: 1
WORD: garry, FREQ: 1
WORD: nicholas, FREQ: 1
WORD: sadler, FREQ: 1
WORD: harry, FREQ: 1
WORD: havemeyer, FREQ: 1
WORD: louiso, FREQ: 1
WORD: trent, FREQ: 1
WORD: potter, FREQ: 1
WORD: matt, FREQ: 1
WORD: smith, FREQ: 1
WORD: jimmy, FREQ: 1
WORD: jameson, FREQ: 1
WORD: ron, FREQ: 1
WORD: eldard, FREQ: 1
WORD: gore, FREQ: 1
WORD: margaret, FREQ: 1
WORD: eginton, FREQ: 1
WORD: gail, FREQ: 1
WORD: sally, FREQ: 1
WORD: murphy, FREQ: 1
WORD: karen, FREQ: 1
WORD: santoro, FREQ: 1
WORD: donny, FREQ: 1
WORD: julian, FREQ: 1
WORD: max, FREQ: 1
WORD: stein, FREQ: 1
WORD: willie, FREQ: 1
WORD: leonard, FREQ: 1
WORD: gaines, FREQ: 1
WORD: freddie, FREQ: 1
WORD: bisco, FREQ: 1
WORD: filmed, FREQ: 1
WORD: locations, FREQ: 1
WORD: dumbo, FREQ: 1
WORD: pawling, FREQ: 1
WORD: hempstead, FREQ: 1
WORD: sands, FREQ: 1
WORD: preserve, FREQ: 1
WORD: middleneck, FREQ: 1
WORD: road, FREQ: 1
WORD: kaufman, FREQ: 1
WORD: studio, FREQ: 1
WORD: liberty, FREQ: 1
WORD: international, FREQ: 1
WORD: airport, FREQ: 1
WORD: pierre, FREQ: 1
WORD: fifth, FREQ: 1
WORD: ballroom, FREQ: 1
WORD: prince, FREQ: 1
WORD: bay, FREQ: 1
WORD: rockefeller, FREQ: 1
WORD: college—upper, FREQ: 1
WORD: madison, FREQ: 1
WORD: hall, FREQ: 1
WORD: plaza, FREQ: 1
WORD: park, FREQ: 1
WORD: released, FREQ: 1
WORD: mixed, FREQ: 1
WORD: critical, FREQ: 1
WORD: receiving, FREQ: 1
WORD: rave, FREQ: 1
WORD: holds, FREQ: 1
WORD: approval, FREQ: 1
WORD: rating, FREQ: 1
WORD: review, FREQ: 1
WORD: aggregator, FREQ: 1
WORD: score, FREQ: 1
WORD: critic, FREQ: 1
WORD: first, FREQ: 1
WORD: career, FREQ: 1
WORD: four, FREQ: 1
WORD: previous, FREQ: 1
WORD: nominations, FREQ: 1
WORD: eighth, FREQ: 1
WORD: overall, FREQ: 1
WORD: nomination, FREQ: 1
WORD: criticized, FREQ: 1
WORD: mccarthy, FREQ: 1
WORD: said, FREQ: 1
WORD: goes, FREQ: 1
WORD: nearly, FREQ: 1
WORD: ansen, FREQ: 1
WORD: believes, FREQ: 1
WORD: character, FREQ: 1
WORD: conceit, FREQ: 1
WORD: doesn, FREQ: 1
WORD: warrant, FREQ: 1
WORD: half, FREQ: 1
WORD: recognized, FREQ: 1
WORD: institute, FREQ: 1
WORD: lists, FREQ: 1
WORD: lt, FREQ: 1
WORD: col, FREQ: 1
WORD: hoo, FREQ: 1
WORD: ah, FREQ: 1
WORD: earned, FREQ: 1
WORD: internationally, FREQ: 1
WORD: totaling, FREQ: 1
WORD: worldwide, FREQ: 1
WORD: portal, FREQ: 1
WORD: soundtrack, FREQ: 1
WORD: wrap, FREQ: 1
WORD: april, FREQ: 1
WORD: oscar, FREQ: 1
WORD: derby, FREQ: 1
WORD: twist , FREQ: 1
WORD: role, FREQ: 1
WORD: dramatic, FREQ: 1
WORD: surprising, FREQ: 1
WORD: competitors, FREQ: 1
WORD: sight, FREQ: 1
WORD: sore, FREQ: 1
WORD: eyes, FREQ: 1
WORD: wells, FREQ: 1
WORD: jeffrey, FREQ: 1
WORD: shminutes, FREQ: 1
WORD: play, FREQ: 1
WORD: season, FREQ: 1
WORD: jolly, FREQ: 1
WORD: holiday, FREQ: 1
WORD: take, FREQ: 1
WORD: nice, FREQ: 1
WORD: gift, FREQ: 1
WORD: magic, FREQ: 1
WORD: carpet, FREQ: 1
WORD: ride, FREQ: 1
WORD: welkos, FREQ: 1
WORD: robert, FREQ: 1
WORD: sniper, FREQ: 1
WORD: aim, FREQ: 1
WORD: wikiquote, FREQ: 1
WORD: quotations, FREQ: 1
WORD: related, FREQ: 1
WORD: allmovie, FREQ: 1
WORD: mojo, FREQ: 1
WORD: hot, FREQ: 1
WORD: tomorrows, FREQ: 1
WORD: going, FREQ: 1
WORD: style, FREQ: 1
WORD: beverly, FREQ: 1
WORD: hills, FREQ: 1
WORD: cop, FREQ: 1
WORD: run, FREQ: 1
WORD: meet, FREQ: 1
WORD: joe, FREQ: 1
WORD: black, FREQ: 1
WORD: gigli, FREQ: 1
WORD: sun, FREQ: 1
WORD: greatest, FREQ: 1
WORD: show, FREQ: 1
WORD: earth, FREQ: 1
WORD: waterfront, FREQ: 1
