WORD: yönetmen, FREQ: 1
WORD: yapımcı, FREQ: 1
WORD: akdilek, FREQ: 1
WORD: jeffi, FREQ: 1
WORD: medina, FREQ: 1
WORD: müzik, FREQ: 1
WORD: tamer, FREQ: 1
WORD: çıray, FREQ: 1
WORD: görüntü, FREQ: 1
WORD: yönetmeni, FREQ: 1
WORD: uğur, FREQ: 1
WORD: i̇çbak, FREQ: 1
WORD: kurgu, FREQ: 1
WORD: i̇smail, FREQ: 1
WORD: canlısoy, FREQ: 1
WORD: stüdyo, FREQ: 1
WORD: fida, FREQ: 1
WORD: profilm, FREQ: 1
WORD: pana, FREQ: 1
WORD: cinsi, FREQ: 1
WORD: sinema, FREQ: 1
WORD: türü, FREQ: 1
WORD: renk, FREQ: 1
WORD: renkli, FREQ: 1
WORD: yapım, FREQ: 1
WORD: yılı, FREQ: 1
WORD: çıkış, FREQ: 1
WORD: tarih, FREQ: 1
WORD: ler, FREQ: 1
WORD: süre, FREQ: 1
WORD: dakika, FREQ: 1
WORD: ülke, FREQ: 1
WORD: türkiye, FREQ: 1
WORD: dil, FREQ: 1
WORD: türkçe, FREQ: 1
WORD: hasılat, FREQ: 1
WORD: resmî, FREQ: 1
WORD: yönetmenliğini, FREQ: 1
WORD: yaptığı, FREQ: 1
WORD: sinemasının, FREQ: 1
WORD: önemli, FREQ: 1
WORD: ismi, FREQ: 1
WORD: aynı, FREQ: 1
WORD: yapımda, FREQ: 1
WORD: buluşturduğu, FREQ: 1
WORD: filmdir, FREQ: 1
WORD: araştırması, FREQ: 1
WORD: sırasında, FREQ: 1
WORD: hayatları, FREQ: 1
WORD: altüst, FREQ: 1
WORD: hikâyesini, FREQ: 1
WORD: anlatan, FREQ: 1
WORD: çekimleri, FREQ: 1
WORD: nisan, FREQ: 1
WORD: ayında, FREQ: 1
WORD: başlamış, FREQ: 1
WORD: gün, FREQ: 1
WORD: sonunda, FREQ: 1
WORD: haziran, FREQ: 1
WORD: ayı, FREQ: 1
WORD: içerisinde, FREQ: 1
WORD: bitmiştir, FREQ: 1
WORD: tarihinde, FREQ: 1
WORD: vizyona, FREQ: 1
WORD: girmiştir, FREQ: 1
WORD: i̇çindekiler, FREQ: 1
WORD: tecrübesi, FREQ: 1
WORD: sezgileri, FREQ: 1
WORD: takipçiliğiyle, FREQ: 1
WORD: teşkilatın, FREQ: 1
WORD: olarak, FREQ: 1
WORD: nitelediği, FREQ: 1
WORD: yalnızca, FREQ: 1
WORD: bakışlarıyla, FREQ: 1
WORD: lakabının, FREQ: 1
WORD: hakkını, FREQ: 1
WORD: veren, FREQ: 1
WORD: masasında, FREQ: 1
WORD: görevli, FREQ: 1
WORD: baba, FREQ: 1
WORD: oğul, FREQ: 1
WORD: yakın, FREQ: 1
WORD: antropoloji, FREQ: 1
WORD: mezunu, FREQ: 1
WORD: sessiz, FREQ: 1
WORD: sakin, FREQ: 1
WORD: ikiliye, FREQ: 1
WORD: sonradan, FREQ: 1
WORD: dahil, FREQ: 1
WORD: olması, FREQ: 1
WORD: sebebiyle, FREQ: 1
WORD: lakabı, FREQ: 1
WORD: takılmıştır, FREQ: 1
WORD: öldürülen, FREQ: 1
