WORD: i̇ng, FREQ: 1
WORD: yapımcı, FREQ: 1
WORD: daniel, FREQ: 1
WORD: davis, FREQ: 1
WORD: müzik, FREQ: 1
WORD: julyan, FREQ: 1
WORD: kurgu, FREQ: 1
WORD: lee, FREQ: 1
WORD: smith, FREQ: 1
WORD: stüdyo, FREQ: 1
WORD: touchstone, FREQ: 1
WORD: dağıtıcı, FREQ: 1
WORD: yapım, FREQ: 1
WORD: çıkış, FREQ: 1
WORD: tarih, FREQ: 1
WORD: ler, FREQ: 1
WORD: aralık, FREQ: 1
WORD: dakika, FREQ: 1
WORD: dil, FREQ: 1
WORD: i̇ngilizce, FREQ: 1
WORD: bütçe, FREQ: 1
WORD: milyon, FREQ: 1
WORD: hasılat, FREQ: 1
WORD: özgün, FREQ: 1
WORD: adı, FREQ: 1
WORD: dir, FREQ: 1
WORD: romanını, FREQ: 1
WORD: senaryosuna, FREQ: 1
WORD: dönüştüren, FREQ: 1
WORD: memento, FREQ: 1
WORD: kardeşi, FREQ: 1
WORD: eşlik, FREQ: 1
WORD: etmiştir, FREQ: 1
WORD: sitesinde, FREQ: 1
WORD: den, FREQ: 1
WORD: fazla, FREQ: 1
WORD: oylarıyla, FREQ: 1
WORD: üzerinden, FREQ: 1
WORD: puan, FREQ: 1
WORD: almış, FREQ: 1
WORD: gelmiş, FREQ: 1
WORD: geçmiş, FREQ: 1
WORD: iyi, FREQ: 1
WORD: arasına, FREQ: 1
WORD: girmiştir, FREQ: 1
WORD: zamanda, FREQ: 1
WORD: türünde, FREQ: 1
WORD: beğenilen, FREQ: 1
WORD: arasındadır, FREQ: 1
WORD: önceleri, FREQ: 1
WORD: rekabete, FREQ: 1
WORD: düşmanlığa, FREQ: 1
WORD: dönüşen, FREQ: 1
WORD: öyküsünün, FREQ: 1
WORD: anlatıldığı, FREQ: 1
WORD: konusu, FREQ: 1
WORD: yüzyılın, FREQ: 1
WORD: i̇ngiltere, FREQ: 1
WORD: sinde, FREQ: 1
WORD: anılan, FREQ: 1
WORD: diliminde, FREQ: 1
WORD: geçer, FREQ: 1
WORD: yapımında, FREQ: 1
WORD: yanı, FREQ: 1
WORD: sıra, FREQ: 1
WORD: görev, FREQ: 1
WORD: başlıca, FREQ: 1
WORD: rollerde, FREQ: 1
WORD: yer, FREQ: 1
WORD: aldıkları, FREQ: 1
WORD: dalda, FREQ: 1
WORD: olmuş, FREQ: 1
WORD: ödül, FREQ: 1
WORD: alamamıştır, FREQ: 1
WORD: i̇çindekiler, FREQ: 1
WORD: yüzyıl, FREQ: 1
WORD: sonlarında, FREQ: 1
WORD: yaşayan, FREQ: 1
WORD: öyküsünü, FREQ: 1
WORD: anlattığı, FREQ: 1
WORD: yılında, FREQ: 1
WORD: yayımlanan, FREQ: 1
WORD: uyarlanmıştır, FREQ: 1
WORD: sihirbazlığı, FREQ: 1
WORD: olmak, FREQ: 1
WORD: evrede, FREQ: 1
WORD: ele, FREQ: 1
WORD: yapacağını, FREQ: 1
WORD: ettiği, FREQ: 1
WORD: sunumu, FREQ: 1
WORD: nesnelerin, FREQ: 1
WORD: tanıtımı, FREQ: 1
WORD: gerekli, FREQ: 1
WORD: hazırlık, FREQ: 1
WORD: heyecanlı, FREQ: 1
WORD: bekleyişi, FREQ: 1
WORD: edilen, FREQ: 1
WORD: gerçekleştiği, FREQ: 1
WORD: an, FREQ: 1
WORD: şaşkın, FREQ: 1
WORD: hayran, FREQ: 1
WORD: bakışlarla, FREQ: 1
WORD: alkışlaması, FREQ: 1
WORD: romandan, FREQ: 1
WORD: adını, FREQ: 1
WORD: sanatı, FREQ: 1
WORD: ilgisi, FREQ: 1
WORD: olmayan, FREQ: 1
WORD: evreden, FREQ: 1
WORD: mertebesine, FREQ: 1
WORD: prestijden, FREQ: 1
WORD: dönem, FREQ: 1
WORD: olmasına, FREQ: 1
WORD: konusunun, FREQ: 1
WORD: geçtiği, FREQ: 1
WORD: döneminin, FREQ: 1
WORD: kültürel, FREQ: 1
WORD: yapısı, FREQ: 1
WORD: detayları, FREQ: 1
WORD: bünyesinde, FREQ: 1
WORD: barındırmaz, FREQ: 1
WORD: ekibinin, FREQ: 1
WORD: bilinçli, FREQ: 1
WORD: tercihi, FREQ: 1
WORD: durumu, FREQ: 1
WORD: şekide, FREQ: 1
WORD: açıklar, FREQ: 1
WORD: sanayide, FREQ: 1
WORD: devrim, FREQ: 1
WORD: bilimsel, FREQ: 1
WORD: gelişmelerde, FREQ: 1
WORD: bilinse, FREQ: 1
WORD: sıkıcı, FREQ: 1
WORD: gösterilmektedir, FREQ: 1
WORD: elektriğin, FREQ: 1
WORD: bulunuşu, FREQ: 1
WORD: sinemanın, FREQ: 1
WORD: icadı, FREQ: 1
WORD: afişli, FREQ: 1
WORD: reklamcılığın, FREQ: 1
WORD: yenilik, FREQ: 1
WORD: döneme, FREQ: 1
WORD: denk, FREQ: 1
WORD: gelir, FREQ: 1
WORD: detaylarından, FREQ: 1
WORD: hikâyedeki, FREQ: 1
WORD: duyguyu, FREQ: 1
WORD: yakalamaya, FREQ: 1
WORD: duygusunu, FREQ: 1
WORD: görüntüde, FREQ: 1
WORD: hissettirmek, FREQ: 1
WORD: bilgisayara, FREQ: 1
WORD: aktarılan, FREQ: 1
WORD: renk, FREQ: 1
WORD: ayarlarını, FREQ: 1
WORD: düzenlemek, FREQ: 1
WORD: klasik, FREQ: 1
WORD: yöntemle, FREQ: 1
WORD: çeşitli, FREQ: 1
WORD: ışık, FREQ: 1
WORD: derecelerine, FREQ: 1
WORD: maruz, FREQ: 1
WORD: bırakmış, FREQ: 1
WORD: çekim, FREQ: 1
WORD: öncesi, FREQ: 1
WORD: ekibi, FREQ: 1
WORD: karakter, FREQ: 1
WORD: sihirbazı, FREQ: 1
WORD: araştırmalar, FREQ: 1
WORD: yapmışlar, FREQ: 1
WORD: kendilerine, FREQ: 1
WORD: yöneltilen, FREQ: 1
WORD: soruya, FREQ: 1
WORD: niteliğinde, FREQ: 1
WORD: yapmak, FREQ: 1
WORD: zorunda, FREQ: 1
WORD: değildik, FREQ: 1
WORD: iç, FREQ: 1
WORD: dünyasını, FREQ: 1
WORD: anlamaya, FREQ: 1
WORD: neler, FREQ: 1
WORD: hissettiğini, FREQ: 1
WORD: çalıştıklarını, FREQ: 1
WORD: inceledik, FREQ: 1
WORD: filimde, FREQ: 1
WORD: geçmişte, FREQ: 1
WORD: rekabet, FREQ: 1
WORD: oldukları, FREQ: 1
WORD: yalnız, FREQ: 1
WORD: çalıştılarını, FREQ: 1
WORD: bilindiği, FREQ: 1
WORD: numaralarını, FREQ: 1
WORD: kesinlikle, FREQ: 1
WORD: açıklamadıklarını, FREQ: 1
WORD: biraz, FREQ: 1
WORD: üzse, FREQ: 1
WORD: kez, FREQ: 1
WORD: öğrenmiş, FREQ: 1
WORD: olduk, FREQ: 1
WORD: dedesi, FREQ: 1
WORD: sihirbazmış, FREQ: 1
WORD: görmediği, FREQ: 1
WORD: rolüne, FREQ: 1
WORD: faydası, FREQ: 1
WORD: olmamış, FREQ: 1
WORD: yapımcıları, FREQ: 1
WORD: seyirci, FREQ: 1
WORD: illüzyonu, FREQ: 1
WORD: canlı, FREQ: 1
WORD: izlediğinde, FREQ: 1
WORD: ekrandaki, FREQ: 1
WORD: seyirden, FREQ: 1
WORD: farklı, FREQ: 1
WORD: gözünün, FREQ: 1
WORD: boyandığını, FREQ: 1
WORD: hissetmediğini, FREQ: 1
WORD: aksine, FREQ: 1
WORD: yapıldığını, FREQ: 1
WORD: düşünerek, FREQ: 1
WORD: yandan, FREQ: 1
WORD: hoş, FREQ: 1
WORD: vakit, FREQ: 1
WORD: geçirdiğini, FREQ: 1
WORD: yapımcıların, FREQ: 1
WORD: tür, FREQ: 1
WORD: yapmayı, FREQ: 1
WORD: etmediğini, FREQ: 1
WORD: senaryoyu, FREQ: 1
WORD: yıla, FREQ: 1
WORD: çalıştığını, FREQ: 1
WORD: söyleyen, FREQ: 1
WORD: romanın, FREQ: 1
WORD: sihir, FREQ: 1
WORD: dünyasındaki, FREQ: 1
WORD: yolculuğunu, FREQ: 1
WORD: taşırken, FREQ: 1
WORD: çizgide, FREQ: 1
WORD: renklendirdiğini, FREQ: 1
WORD: sinemacılarla, FREQ: 1
WORD: yönünün, FREQ: 1
WORD: izleyiciyi, FREQ: 1
WORD: şaşırtmak, FREQ: 1
WORD: beklenmedik, FREQ: 1
WORD: sürprizlere, FREQ: 1
WORD: olduğunu, FREQ: 1
WORD: zorluğu, FREQ: 1
WORD: nebzede, FREQ: 1
WORD: aştıklarını, FREQ: 1
WORD: vurgular, FREQ: 1
WORD: filmden, FREQ: 1
WORD: gösterime, FREQ: 1
WORD: giren, FREQ: 1
WORD: temanın, FREQ: 1
WORD: işlendiği, FREQ: 1
WORD: illusionist, FREQ: 1
WORD: filminden, FREQ: 1
WORD: ilginin, FREQ: 1
WORD: olabileceği, FREQ: 1
WORD: yönünde, FREQ: 1
WORD: endişe, FREQ: 1
WORD: taşıdığını, FREQ: 1
WORD: senaryonun, FREQ: 1
WORD: bitiminde, FREQ: 1
WORD: yapılmamış, FREQ: 1
WORD: olacağını, FREQ: 1
WORD: düşündüğünü, FREQ: 1
WORD: akabinde, FREQ: 1
WORD: gerçekleştirdiklerini, FREQ: 1
WORD: iddialı, FREQ: 1
WORD: şekilde, FREQ: 1
WORD: dile, FREQ: 1
WORD: getirir, FREQ: 1
WORD: romandaki, FREQ: 1
WORD: temaya, FREQ: 1
WORD: hikâye, FREQ: 1
WORD: yapısına, FREQ: 1
WORD: uzak, FREQ: 1
WORD: karmaşık, FREQ: 1
WORD: anlatım, FREQ: 1
WORD: tarzı, FREQ: 1
WORD: konuya, FREQ: 1
WORD: odaklı, FREQ: 1
WORD: süreç, FREQ: 1
WORD: eder, FREQ: 1
WORD: i̇nsan, FREQ: 1
WORD: zorlamayı, FREQ: 1
WORD: hedef, FREQ: 1
WORD: aldığı, FREQ: 1
WORD: düşünülen, FREQ: 1
WORD: titiz, FREQ: 1
WORD: çalışma, FREQ: 1
WORD: ürünü, FREQ: 1
WORD: görülen, FREQ: 1
WORD: bakış, FREQ: 1
WORD: açısı, FREQ: 1
WORD: omuz, FREQ: 1
WORD: üstü, FREQ: 1
WORD: kameraları, FREQ: 1
WORD: çekilmiştir, FREQ: 1
WORD: ilginç, FREQ: 1
WORD: bulunan, FREQ: 1
WORD: başka, FREQ: 1
WORD: karakterlerin, FREQ: 1
WORD: kahraman, FREQ: 1
WORD: antikahraman, FREQ: 1
WORD: gel, FREQ: 1
WORD: git, FREQ: 1
WORD: yapması, FREQ: 1
WORD: dolayısıyle, FREQ: 1
WORD: tarafta, FREQ: 1
WORD: bulacağını, FREQ: 1
WORD: bilemez, FREQ: 1
WORD: durumda, FREQ: 1
WORD: izlemesi, FREQ: 1
WORD: finalin, FREQ: 1
WORD: ardından, FREQ: 1
WORD: yapacağı, FREQ: 1
WORD: sentezlerdir, FREQ: 1
WORD: özelliği, FREQ: 1
WORD: nitelendirilebilir, FREQ: 1
WORD: cevabı, FREQ: 1
WORD: finalinde, FREQ: 1
WORD: verilmiş, FREQ: 1
WORD: olsa, FREQ: 1
WORD: temel, FREQ: 1
WORD: cevapsız, FREQ: 1
WORD: bırakılmıştır, FREQ: 1
WORD: kontrolden, FREQ: 1
WORD: çıkmasına, FREQ: 1
WORD: kazadır, FREQ: 1
WORD: sebep, FREQ: 1
WORD: bilmemektedir, FREQ: 1
WORD: tartışma, FREQ: 1
WORD: kazaya, FREQ: 1
WORD: uğrayacak, FREQ: 1
WORD: davranışı, FREQ: 1
WORD: onaylaması, FREQ: 1
WORD: verilir, FREQ: 1
WORD: özde, FREQ: 1
WORD: kötü, FREQ: 1
WORD: niyete, FREQ: 1
WORD: dayanmayan, FREQ: 1
WORD: sorun, FREQ: 1
WORD: çıkarmayacağına, FREQ: 1
WORD: inanılan, FREQ: 1
WORD: davranış, FREQ: 1
WORD: sonucunda, FREQ: 1
WORD: oluşan, FREQ: 1
WORD: ölüm, FREQ: 1
WORD: geride, FREQ: 1
WORD: kalan, FREQ: 1
WORD: sonuçtan, FREQ: 1
WORD: duygusal, FREQ: 1
WORD: zarar, FREQ: 1
WORD: gören, FREQ: 1
WORD: tarafından, FREQ: 1
WORD: sorgulanır, FREQ: 1
WORD: seyirciye, FREQ: 1
WORD: bırakır, FREQ: 1
WORD: buradadır, FREQ: 1
WORD: i̇kinci, FREQ: 1
WORD: problem, FREQ: 1
WORD: olana, FREQ: 1
WORD: inanmakta, FREQ: 1
WORD: zorlanan, FREQ: 1
WORD: kişiye, FREQ: 1
WORD: dayanır, FREQ: 1
WORD: basit, FREQ: 1
WORD: kabullenmez, FREQ: 1
WORD: dikkati, FREQ: 1
WORD: çeken, FREQ: 1
WORD: aklını, FREQ: 1
WORD: zorlayan, FREQ: 1
WORD: açıklanması, FREQ: 1
WORD: zor, FREQ: 1
WORD: vardır, FREQ: 1
WORD: mesaj, FREQ: 1
WORD: idealist, FREQ: 1
WORD: bilmi, FREQ: 1
WORD: zenginlerin, FREQ: 1
WORD: sanayi, FREQ: 1
WORD: patronlarının, FREQ: 1
WORD: insanlığın, FREQ: 1
WORD: hizmetine, FREQ: 1
WORD: eşitce, FREQ: 1
WORD: sunma, FREQ: 1
WORD: çabalarıdır, FREQ: 1
WORD: çabaları, FREQ: 1
WORD: sert, FREQ: 1
WORD: türlü, FREQ: 1
WORD: baskı, FREQ: 1
WORD: manipülasyon, FREQ: 1
WORD: bastırmaya, FREQ: 1
WORD: edison, FREQ: 1
WORD: hikâyesidir, FREQ: 1
WORD: yüzyılda, FREQ: 1
WORD: hızla, FREQ: 1
WORD: değişmekte, FREQ: 1
WORD: başlar, FREQ: 1
WORD: ileri, FREQ: 1
WORD: derecede, FREQ: 1
WORD: saygı, FREQ: 1
WORD: duyulan, FREQ: 1
WORD: kişiler, FREQ: 1
WORD: kabul, FREQ: 1
WORD: edildikleri, FREQ: 1
WORD: dönemde, FREQ: 1
WORD: genç, FREQ: 1
WORD: şöhret, FREQ: 1
WORD: olma, FREQ: 1
WORD: yolundadırlar, FREQ: 1
WORD: yaptıkları, FREQ: 1
WORD: gösteri, FREQ: 1
WORD: sırasında, FREQ: 1
WORD: kaza, FREQ: 1
WORD: sonucu, FREQ: 1
WORD: ölünce, FREQ: 1
WORD: olaydan, FREQ: 1
WORD: sorumlu, FREQ: 1
WORD: tutar, FREQ: 1
WORD: olay, FREQ: 1
WORD: arasında, FREQ: 1
WORD: ömür, FREQ: 1
WORD: boyu, FREQ: 1
WORD: sürecek, FREQ: 1
WORD: düşmanlık, FREQ: 1
WORD: olur, FREQ: 1
WORD: karakterler, FREQ: 1
WORD: sihirbazdan, FREQ: 1
WORD: vermiş, FREQ: 1
WORD: x, FREQ: 1
WORD: men, FREQ: 1
WORD: sihirbazlardan, FREQ: 1
WORD: inci, FREQ: 1
WORD: küpeli, FREQ: 1
WORD: kız, FREQ: 1
WORD: girl, FREQ: 1
WORD: with, FREQ: 1
WORD: pearl, FREQ: 1
WORD: earring, FREQ: 1
WORD: filmindeki, FREQ: 1
WORD: rolüyle, FREQ: 1
WORD: altın, FREQ: 1
WORD: küre, FREQ: 1
WORD: adayı, FREQ: 1
WORD: konuşabilse, FREQ: 1
WORD: lost, FREQ: 1
WORD: translation, FREQ: 1
WORD: filmiyle, FREQ: 1
WORD: bafta, FREQ: 1
WORD: ödüllü, FREQ: 1
WORD: oynamışladır, FREQ: 1
WORD: baş, FREQ: 1
WORD: eski, FREQ: 1
WORD: rolünde, FREQ: 1
WORD: yönetmenin, FREQ: 1
WORD: verdiği, FREQ: 1
WORD: yere, FREQ: 1
WORD: kadronun, FREQ: 1
WORD: sürprizi, FREQ: 1
WORD: nitelendirilen, FREQ: 1
WORD: isim, FREQ: 1
WORD: sihrine, FREQ: 1
WORD: yardımda, FREQ: 1
WORD: bulunacak, FREQ: 1
WORD: sırp, FREQ: 1
WORD: asıllı, FREQ: 1
WORD: bilim, FREQ: 1
WORD: adamı, FREQ: 1
WORD: yı, FREQ: 1
WORD: müzisyen, FREQ: 1
WORD: olmuştur, FREQ: 1
WORD: asistanı, FREQ: 1
WORD: canlandırmıştır, FREQ: 1
WORD: ayrıca, FREQ: 1
WORD: küçük, FREQ: 1
WORD: görünmüştür, FREQ: 1
WORD: sungun, FREQ: 1
WORD: babacan, FREQ: 1
WORD: gerald, FREQ: 1
WORD: root, FREQ: 1
WORD: murat, FREQ: 1
WORD: şen, FREQ: 1
WORD: falton, FREQ: 1
WORD: levent, FREQ: 1
WORD: dönmez, FREQ: 1
WORD: hümay, FREQ: 1
WORD: güldağ, FREQ: 1
WORD: pınar, FREQ: 1
WORD: erengil, FREQ: 1
WORD: oya, FREQ: 1
WORD: prosçilee, FREQ: 1
WORD: selçuk, FREQ: 1
WORD: kıpçak, FREQ: 1
WORD: atilla, FREQ: 1
WORD: şendil, FREQ: 1
WORD: ricky, FREQ: 1
WORD: jay, FREQ: 1
WORD: milton, FREQ: 1
WORD: türkçe, FREQ: 1
WORD: sinemalar, FREQ: 1
WORD: profili, FREQ: 1
WORD: fragman, FREQ: 1
WORD: uykusuz, FREQ: 1
WORD: başlangıç, FREQ: 1
WORD: yükseliyor, FREQ: 1
WORD: yıldızlararası, FREQ: 1
WORD: dunkirk, FREQ: 1
WORD: doodlebug, FREQ: 1
WORD: quay, FREQ: 1
WORD: http, FREQ: 1
WORD: www, FREQ: 1
WORD: seslendirmekadrolari, FREQ: 1
WORD: html, FREQ: 1
WORD: prestige, FREQ: 2
WORD: emma, FREQ: 2
WORD: aaron, FREQ: 2
WORD: ryder, FREQ: 2
WORD: sanat, FREQ: 2
WORD: kevin, FREQ: 2
WORD: kavanaugh, FREQ: 2
WORD: warner, FREQ: 2
WORD: bros, FREQ: 2
WORD: abd, FREQ: 2
WORD: birleşik, FREQ: 2
WORD: krallık, FREQ: 2
WORD: yönetmenliğini, FREQ: 2
WORD: yaptığı, FREQ: 2
WORD: yapımı, FREQ: 2
WORD: yazar, FREQ: 2
WORD: romanından, FREQ: 2
WORD: uyarlanan, FREQ: 2
WORD: akıl, FREQ: 2
WORD: defteri, FREQ: 2
WORD: çalıştığı, FREQ: 2
WORD: imdb, FREQ: 2
WORD: kişinin, FREQ: 2
WORD: gizemli, FREQ: 2
WORD: çalışan, FREQ: 2
WORD: dönemi, FREQ: 2
WORD: almıştır, FREQ: 2
WORD: ödüller, FREQ: 2
WORD: dış, FREQ: 2
WORD: bağlantılar, FREQ: 2
WORD: londra, FREQ: 2
WORD: alır, FREQ: 2
WORD: sihirbazlığın, FREQ: 2
WORD: üst, FREQ: 2
WORD: dolayısıyla, FREQ: 2
WORD: sihirbazlık, FREQ: 2
WORD: vurgu, FREQ: 2
WORD: filmi, FREQ: 2
WORD: ilgili, FREQ: 2
WORD: genelde, FREQ: 2
WORD: başlangıcı, FREQ: 2
WORD: dönemin, FREQ: 2
WORD: çalıştık, FREQ: 2
WORD: sahneleri, FREQ: 2
WORD: sihirbazlar, FREQ: 2
WORD: uzun, FREQ: 2
WORD: cevap, FREQ: 2
WORD: söyler, FREQ: 2
WORD: sahnede, FREQ: 2
WORD: büyük, FREQ: 2
WORD: kendisini, FREQ: 2
WORD: tercih, FREQ: 2
WORD: hazırlamak, FREQ: 2
WORD: yakın, FREQ: 2
WORD: sadık, FREQ: 2
WORD: kısa, FREQ: 2
WORD: takip, FREQ: 2
WORD: algısını, FREQ: 2
WORD: önemli, FREQ: 2
WORD: soru, FREQ: 2
WORD: asıl, FREQ: 2
WORD: rekabetin, FREQ: 2
WORD: cevabını, FREQ: 2
WORD: kişi, FREQ: 2
WORD: sahne, FREQ: 2
WORD: begins, FREQ: 2
WORD: başlıyor, FREQ: 2
WORD: alan, FREQ: 2
WORD: sarah, FREQ: 2
WORD: rebecca, FREQ: 2
WORD: hall, FREQ: 2
WORD: mccullough, FREQ: 2
WORD: yardımcısı, FREQ: 2
WORD: olivia, FREQ: 2
WORD: wenscombe, FREQ: 2
WORD: i̇ngiliz, FREQ: 2
WORD: harry, FREQ: 2
WORD: cutter, FREQ: 2
WORD: ünlü, FREQ: 2
WORD: mr, FREQ: 2
WORD: alley, FREQ: 2
WORD: i̇yi, FREQ: 2
WORD: com, FREQ: 2
WORD: metrajlı, FREQ: 2
WORD: kara, FREQ: 2
WORD: şövalye, FREQ: 2
WORD: the, FREQ: 3
WORD: thomas, FREQ: 3
WORD: senarist, FREQ: 3
WORD: roman, FREQ: 3
WORD: andy, FREQ: 3
WORD: serkis, FREQ: 3
WORD: görüntü, FREQ: 3
WORD: wally, FREQ: 3
WORD: pfister, FREQ: 3
WORD: pictures, FREQ: 3
WORD: yılı, FREQ: 3
WORD: süre, FREQ: 3
WORD: adlı, FREQ: 3
WORD: sinemaya, FREQ: 3
WORD: birlikte, FREQ: 3
WORD: viktorya, FREQ: 3
WORD: akademi, FREQ: 3
WORD: ödülleri, FREQ: 3
WORD: aday, FREQ: 3
WORD: üzerine, FREQ: 3
WORD: konu, FREQ: 3
WORD: dönüm, FREQ: 3
WORD: noktası, FREQ: 3
WORD: canlandıran, FREQ: 3
WORD: filmde, FREQ: 3
WORD: nikola, FREQ: 3
WORD: julia, FREQ: 3
WORD: piper, FREQ: 3
WORD: perabo, FREQ: 3
WORD: priest, FREQ: 4
WORD: jonathan, FREQ: 4
WORD: oyuncular, FREQ: 4
WORD: michael, FREQ: 4
WORD: caine, FREQ: 4
WORD: scarlett, FREQ: 4
WORD: johansson, FREQ: 4
WORD: bowie, FREQ: 4
WORD: yönetmeni, FREQ: 4
WORD: ortak, FREQ: 4
WORD: aynı, FREQ: 4
WORD: filmler, FREQ: 4
WORD: sihirbazın, FREQ: 4
WORD: eşi, FREQ: 4
WORD: olduğu, FREQ: 4
WORD: vaat, FREQ: 4
WORD: sihrin, FREQ: 4
WORD: seyircinin, FREQ: 4
WORD: sihirbazların, FREQ: 4
WORD: pek, FREQ: 4
WORD: tesla, FREQ: 4
WORD: robert, FREQ: 4
WORD: batman, FREQ: 4
WORD: rol, FREQ: 4
WORD: david, FREQ: 5
WORD: kaynağı, FREQ: 5
WORD: ana, FREQ: 5
WORD: sihirbaz, FREQ: 5
WORD: alfred, FREQ: 5
WORD: oyuncu, FREQ: 5
WORD: yönetmen, FREQ: 6
WORD: hugh, FREQ: 6
WORD: jackman, FREQ: 6
WORD: filminde, FREQ: 6
WORD: christian, FREQ: 7
WORD: bale, FREQ: 7
WORD: filmin, FREQ: 9
WORD: borden, FREQ: 9
WORD: angier, FREQ: 9
WORD: christopher, FREQ: 10
WORD: değiştir, FREQ: 10
WORD: olan, FREQ: 10
WORD: olarak, FREQ: 11
WORD: prestij, FREQ: 13
WORD: film, FREQ: 14
WORD: nolan, FREQ: 15
