WORD: yönetmen, FREQ: 1
WORD: yapımcı, FREQ: 1
WORD: lawrence, FREQ: 1
WORD: bender, FREQ: 1
WORD: senarist, FREQ: 1
WORD: rosanna, FREQ: 1
WORD: arquette, FREQ: 1
WORD: christopher, FREQ: 1
WORD: walken, FREQ: 1
WORD: görüntü, FREQ: 1
WORD: yönetmeni, FREQ: 1
WORD: andrzej, FREQ: 1
WORD: sekula, FREQ: 1
WORD: kurgu, FREQ: 1
WORD: sally, FREQ: 1
WORD: menke, FREQ: 1
WORD: dağıtıcı, FREQ: 1
WORD: miramax, FREQ: 1
WORD: films, FREQ: 1
WORD: cinsi, FREQ: 1
WORD: sinema, FREQ: 1
WORD: filmi, FREQ: 1
WORD: türü, FREQ: 1
WORD: polisiye, FREQ: 1
WORD: gerilim, FREQ: 1
WORD: renk, FREQ: 1
WORD: renkli, FREQ: 1
WORD: yapım, FREQ: 1
WORD: yılı, FREQ: 1
WORD: çıkış, FREQ: 1
WORD: tarih, FREQ: 1
WORD: ler, FREQ: 1
WORD: ekim, FREQ: 1
WORD: türkiye, FREQ: 1
WORD: nisan, FREQ: 1
WORD: süre, FREQ: 1
WORD: dakika, FREQ: 1
WORD: dil, FREQ: 1
WORD: bütçe, FREQ: 1
WORD: yönetmenliğindeki, FREQ: 1
WORD: birlikte, FREQ: 1
WORD: yazılmış, FREQ: 1
WORD: yapımı, FREQ: 1
WORD: kült, FREQ: 1
WORD: kabul, FREQ: 1
WORD: edilen, FREQ: 1
WORD: filmdir, FREQ: 1
WORD: dahil, FREQ: 1
WORD: dalda, FREQ: 1
WORD: oscar, FREQ: 1
WORD: aday, FREQ: 1
WORD: gösterilmiş, FREQ: 1
WORD: orijinal, FREQ: 1
WORD: senaryo, FREQ: 1
WORD: oscarı, FREQ: 1
WORD: nı, FREQ: 1
WORD: almıştır, FREQ: 1
WORD: aynı, FREQ: 1
WORD: zamanda, FREQ: 1
WORD: cannes, FREQ: 1
WORD: festivali, FREQ: 1
WORD: nde, FREQ: 1
WORD: olan, FREQ: 1
WORD: nün, FREQ: 1
WORD: sahibidir, FREQ: 1
WORD: zamanların, FREQ: 1
WORD: sıralamasında, FREQ: 1
WORD: oylama, FREQ: 1
WORD: sonucu, FREQ: 1
WORD: puanla, FREQ: 1
WORD: sıradadır, FREQ: 1
WORD: i̇çindekiler, FREQ: 1
WORD: ringo, FREQ: 1
WORD: yolanda, FREQ: 1
WORD: birbirlerine, FREQ: 1
WORD: deliler, FREQ: 1
WORD: aşık, FREQ: 1
WORD: soyguncu, FREQ: 1
WORD: çifttir, FREQ: 1
WORD: işlerine, FREQ: 1
WORD: biraz, FREQ: 1
WORD: heyecan, FREQ: 1
WORD: katmak, FREQ: 1
WORD: farklı, FREQ: 1
WORD: plan, FREQ: 1
WORD: yaparlar, FREQ: 1
WORD: profesyonel, FREQ: 1
WORD: tetikçidir, FREQ: 1
WORD: patronları, FREQ: 1
WORD: dolandırmaya, FREQ: 1
WORD: çalışan, FREQ: 1
WORD: sahtekar, FREQ: 1
WORD: genci, FREQ: 1
WORD: temizlemeye, FREQ: 1
WORD: giderler, FREQ: 1
WORD: patron, FREQ: 1
WORD: boksör, FREQ: 1
WORD: şike, FREQ: 1
WORD: anlaşması, FREQ: 1
WORD: yapar, FREQ: 1
WORD: cesur, FREQ: 1
WORD: gururlu, FREQ: 1
WORD: final, FREQ: 1
WORD: maçında, FREQ: 1
WORD: yenilmeyi, FREQ: 1
WORD: yediremez, FREQ: 1
WORD: anlaşmayı, FREQ: 1
WORD: bozup, FREQ: 1
WORD: kaçmayı, FREQ: 1
WORD: planlar, FREQ: 1
WORD: karısı, FREQ: 1
WORD: ricası, FREQ: 1
WORD: üzerine, FREQ: 1
WORD: gece, FREQ: 1
WORD: vakit, FREQ: 1
WORD: geçirecektir, FREQ: 1
WORD: tek, FREQ: 1
WORD: yapması, FREQ: 1
WORD: gereken, FREQ: 1
WORD: florida, FREQ: 1
WORD: dayken, FREQ: 1
WORD: yı, FREQ: 1
WORD: dışarı, FREQ: 1
WORD: çıkarıp, FREQ: 1
WORD: eğlendirmektir, FREQ: 1
WORD: kimsenin, FREQ: 1
WORD: işleri, FREQ: 1
WORD: yolunda, FREQ: 1
WORD: gitmez, FREQ: 1
WORD: ummadıkları, FREQ: 1
WORD: şeylerle, FREQ: 1
WORD: yüzleşmek, FREQ: 1
WORD: zorunda, FREQ: 1
WORD: kalırlar, FREQ: 1
WORD: isimli, FREQ: 1
WORD: mafya, FREQ: 1
WORD: liderinin, FREQ: 1
WORD: kirli, FREQ: 1
WORD: işlerini, FREQ: 1
WORD: yapan, FREQ: 1
WORD: tetikçi, FREQ: 1
WORD: karakterden, FREQ: 1
WORD: biridir, FREQ: 1
WORD: ekstralarında, FREQ: 1
WORD: suzanne, FREQ: 1
WORD: yeğeni, FREQ: 1
WORD: olduğu, FREQ: 1
WORD: geçmektedir, FREQ: 1
WORD: winnfield, FREQ: 1
WORD: coolidge, FREQ: 1
WORD: winston, FREQ: 1
WORD: wolfe, FREQ: 1
WORD: bal, FREQ: 1
WORD: kabağı, FREQ: 1
WORD: honey, FREQ: 1
WORD: bunny, FREQ: 1
WORD: fabienne, FREQ: 1
WORD: lance, FREQ: 1
WORD: misirlou, FREQ: 1
WORD: dick, FREQ: 1
WORD: dale, FREQ: 1
WORD: seslendirdiği, FREQ: 1
WORD: tema, FREQ: 1
WORD: müziği, FREQ: 1
WORD: vikisöz, FREQ: 1
WORD: ilgili, FREQ: 1
WORD: sözleri, FREQ: 1
WORD: bulabilirsiniz, FREQ: 1
WORD: allmovie, FREQ: 1
WORD: box, FREQ: 1
WORD: office, FREQ: 1
WORD: mojo, FREQ: 1
WORD: metacritic, FREQ: 1
WORD: te, FREQ: 1
WORD: yönettiği, FREQ: 1
WORD: köpekleri, FREQ: 1
WORD: brown, FREQ: 1
WORD: geçirmez, FREQ: 1
WORD: zincirsiz, FREQ: 1
WORD: hateful, FREQ: 1
WORD: eight, FREQ: 1
WORD: yazdığı, FREQ: 1
WORD: romance, FREQ: 1
